Sample in Buffer	Sample in Window	/vad	/DP_main/scr_o<0>	/DP_main/scr_o<1>	/DP_main/scr_o<2>	/DP_main/scr_o<3>	/DP_main/scr_o<4>	/DP_main/scr_o<5>	/DP_main/scr_o<6>	/DP_main/scr_o<7>	/DP_main/scr_o<8>	/DP_main/scr_o<9>	/DP_main/scr_o<10>	/DP_main/scr_o<11>	/DP_main/scr_o<12>	/DP_main/scr_o<13>	/DP_main/scr_o<14>	/DP_main/scr_o<15>	/DP_main/scr_o<16>	/DP_main/scr_o<17>	/DP_main/scr_o<18>	/DP_main/scr_o<19>	/DP_main/scr_o<20>	/DP_main/scr_o<21>	/DP_main/scr_o<22>	/DP_main/scr_o<23>	/DP_main/len_o<0>	/DP_main/len_o<1>	/DP_main/len_o<2>	/DP_main/len_o<3>	/DP_main/len_o<4>	/DP_main/len_o<5>	/DP_main/len_o<6>	/DP_main/len_o	/DP_main/scr_o
139	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0957FF	
140	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	095FFB	
141	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	095EF9	
142	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	094EF9	
143	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	094EFB	
144	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	094E7B	
145	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	096E7B	
146	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097FFD	
147	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093ED9	
148	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093ED9	
149	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07FFCB	
